Content Category,Video Title,Video URL,Video Cover Picture URL,Duration
Sports,Real Madrid vs Barcelona 2-3 - Highlights & Goals - 29 July 2017,https://www.youtube.com/watch?v=yE0BJMwGkRI,https://i.ytimg.com/vi/yE0BJMwGkRI/maxresdefault.jpg,4:41
Sports,Best of Lin Dan vs Lee Chong Wei,https://www.youtube.com/watch?v=6qKXVJcxWk4,http://cdn1.thecoverage.my/wp-content/uploads/2016/08/nnn.jpg,11:21
Sci-fi,Stranger Things Season 1 Trailer,https://www.youtube.com/watch?v=XWxyRG_tckY,https://i.ytimg.com/vi/XWxyRG_tckY/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAVgFxfs3mYk_i9l_sRj1kawtRUhg,2:25
Western dramas,"Blair & Serena 1x01 (Legendado) | Gossip Girl 
",https://www.youtube.com/watch?v=e8_Z7-97mIw,https://i.ytimg.com/vi/e8_Z7-97mIw/maxresdefault.jpg,1:54
Prestige dramas,FRANK UNDERWOOD'S BEST MONOLOGUE,https://www.youtube.com/watch?v=EDi7cRFcnnY,http://media.salon.com/2013/02/house_of_cards2.jpg,1:03
Prestige dramas,"Mary & Matthew: Will They, Won't They?",https://www.youtube.com/watch?v=rXTZESBsCl8,https://i.ytimg.com/vi/sn9kJPqMysQ/maxresdefault.jpg,5:18
Hollywood movies,Guardians of the Galaxy 2 Opening Scene Baby Groot Dance Movie Clip (2017),https://www.youtube.com/watch?v=_Si0DjxK98Q,http://digitalspyuk.cdnds.net/17/11/980x490/landscape-1489479757-baby-g-jpeg.jpg,4:25
Hollywood movies,Star Wars: The Last Jedi Official Teaser,https://www.youtube.com/watch?v=zB4I68XVPzQ,https://i.ytimg.com/vi/nzGcYP-H1yA/maxresdefault.jpg,2:12
Malay Drama,My Darling Inspektor Daniel Episod 5 (official teaser),https://www.youtube.com/watch?v=vV-qOZHD8AQ,https://3.bp.blogspot.com/-ZXJjFK9LEqk/WWND5Oupr2I/AAAAAAAAE1U/jYYFOAVDPSsxU0VDakf7QILzkz3cza4NwCLcBGAs/s1600/My%2BDarling%2BInspektor%2BDaniel.png,1:00
Hollywood movies,"Fast and Furious 8 Movie Clips (2017) | The Fate of the Furious 
",https://www.youtube.com/watch?v=t83YU-vOwak,https://i.ytimg.com/vi/t83YU-vOwak/maxresdefault.jpg,10:28
K-drama,Goblin Ep 7 – Make A Wish,https://www.youtube.com/watch?v=EhWdM4Xut80,https://i.ytimg.com/vi/EhWdM4Xut80/maxresdefault.jpg,2:02
